date,region,product,revenue,units,cost
2024-01-15,North,Widget A,12500,250,7500
2024-01-15,South,Widget A,9800,196,5880
2024-01-15,East,Widget A,7200,144,4320
2024-01-15,West,Widget A,11000,220,6600
2024-01-22,North,Widget B,8900,178,5340
2024-01-22,South,Widget B,7500,150,4500
2024-01-22,East,Widget B,6100,122,3660
2024-01-22,West,Widget B,9200,184,5520
2024-02-01,North,Widget A,13200,264,7920
2024-02-01,South,Widget A,10500,210,6300
2024-02-01,East,Widget A,7800,156,4680
2024-02-01,West,Widget A,11800,236,7080
2024-02-08,North,Widget B,9500,190,5700
2024-02-08,South,Widget B,8100,162,4860
2024-02-08,East,Widget B,6800,136,4080
2024-02-08,West,Widget B,10100,202,6060
2024-02-15,North,Widget A,14100,282,8460
2024-02-15,South,Widget A,11200,224,6720
2024-02-15,East,Widget A,8500,170,5100
2024-02-15,West,Widget A,12500,250,7500
2024-02-22,North,Widget B,10200,204,6120
2024-02-22,South,Widget B,8800,176,5280
2024-02-22,East,Widget B,7400,148,4440
2024-02-22,West,Widget B,10800,216,6480
2024-03-01,North,Widget A,15000,300,9000
2024-03-01,South,Widget A,12000,240,7200
2024-03-01,East,Widget A,9200,184,5520
2024-03-01,West,Widget A,13500,270,8100
2024-03-08,North,Widget B,11000,220,6600
2024-03-08,South,Widget B,9500,190,5700
2024-03-08,East,Widget B,8000,160,4800
2024-03-08,West,Widget B,11500,230,6900
